species_code,genus,species
ACCA,Acorus,calamus
AMCA,Amaranthus,cannabinus
ATPA,Atriplex,patula
BAHA,Baccharis,halimifolia
COAR,Convolvulus,arvensis
CUSCU,Cuscuta,sp.
DISP,Distichlis,spicata
HEHE,Hedera,helix
HIMO,Hibiscus,moscheutos
HYUM,Hydrocotyle,umbellata
ILSPP,Ilex,sp.
IVFR,Iva,frutescens
JUCO,Juniper,communis
JUEF,Juncus,effusus
JUVI,Juniperus,virginiana
KOVI,Kosteletzkya,virginica
LICA,Limonium,carolinianum
LOJA,Lonicera,japonica
MOCE,Morella,cerifera
PADI,Panicum,dichotomoflorum
PAQU,Parthenocissus,quinquefolia
PAVI,Panicum,virgatum
PEVI,Peltandra,virginica
PHAU,Phragmites,australis
PLOD,Pluchea,odorata
POHY,Polygonum,hydropiperoides
PUDI,Puccinellia,distans
RHRA,Rhynchospora,rariflora
SALA,Sagittaria,latifolia
SAVAP,Samolus,valerandi
SCAM,Schoenoplectus,americanus
SCRO,Schoenoplectus,robustus
SMRO,Smilax,rotundifolia
SOSE,Solidago,sempervirens
SOSPP,Solidago,sp.
SPAL,Spartina,alterniflora
SPCY,Spartina,cynosuroides
SPPA,Spartina,patens
SYLA,Symphyotrichum,lanceolatum
SYSPP,Aster,sp.
SYSU,Symphyotrichum,subulatum
SYTE,Symphyotrichum,tenuifolium
TORA,Toxicodendron,radicans
TYAN,Typha,angustifolia
TYSPP,Typha,sp.
UNKGRASS,,
VISPP,Vitis,sp.